run,patent_id,sketch_id,status,stage2_chamfer_p95,stage2_chamfer_sym,stage2_f1_at_2px,stage2_precision_at_2px,stage2_recall_at_2px,stage3_chamfer_p95,stage3_chamfer_sym,stage3_f1_at_2px,stage3_precision_at_2px,stage3_recall_at_2px
canonical,EP3281211B1,F0001,ok,0.0,0.002215443441906888,0.9998319175620289,1.0,0.9996638916179741,2.23606797749979,0.5767678601673061,0.9479190302043669,0.9150646794825641,0.9832204353896272
cohort,EP3281211B1,F0001,ok,0.0,0.002215443441906888,0.9998319175620289,1.0,0.9996638916179741,2.23606797749979,0.5767678601673061,0.9479190302043669,0.9150646794825641,0.9832204353896272
canonical,EP3283256B1,F0001,quality_gate_stage3,0.0,0.001412835764386319,0.9999367128662743,1.0,0.9998734337425642,1.0,0.24739494833769238,0.9989301383841833,0.9992346101979079,0.998625852062126
cohort,EP3283256B1,F0001,quality_gate_stage3,0.0,0.001412835764386319,0.9999367128662743,1.0,0.9998734337425642,1.0,0.24739494833769238,0.9989301383841833,0.9992346101979079,0.998625852062126
canonical,EP3305875B1,F0001,quality_gate_stage3,0.0,0.00023168359076147882,0.999957932641746,1.0,0.9999158688226683,1.0,0.26251121242217995,0.9970107638729657,0.9999787550456767,0.9940603388803823
cohort,EP3305875B1,F0001,quality_gate_stage3,0.0,0.00023168359076147882,0.999957932641746,1.0,0.9999158688226683,1.0,0.26251121242217995,0.9970107638729657,0.9999787550456767,0.9940603388803823
canonical,EP3322902B1,F0002,quality_gate_stage3,0.0,1.5190334896250012e-05,0.999994936529396,1.0,0.9999898731100691,0.0,0.030791546858077688,0.9999594907993479,1.0,0.9999189848805533
cohort,EP3322902B1,F0002,quality_gate_stage3,0.0,1.5190334896250012e-05,0.999994936529396,1.0,0.9999898731100691,0.0,0.030791546858077688,0.9999594907993479,1.0,0.9999189848805533
canonical,EP3332519B1,F0001,quality_gate_stage2,0.0,7.679285980324009e-05,0.9999889489330195,1.0,0.9999778981102885,,,,,
cohort,EP3332519B1,F0001,quality_gate_stage2,0.0,7.679285980324009e-05,0.9999889489330195,1.0,0.9999778981102885,2.23606797749979,0.5302250493779539,0.948151284287368,0.9998771317638964,0.9015139794452426
canonical,EP3337593B1,F0001,quality_gate_stage3,0.0,0.0,1.0,1.0,1.0,1.0,0.1259973787108215,0.9998095721721467,1.0,0.9996192168560005
cohort,EP3337593B1,F0001,quality_gate_stage3,0.0,0.0,1.0,1.0,1.0,1.0,0.1259973787108215,0.9998095721721467,1.0,0.9996192168560005
canonical,EP3340025B1,F0020,quality_gate_stage3,0.0,0.0004267593268968191,0.9999478142884478,1.0,0.9998956340233084,1.0,0.20636080356881983,0.9988249028091691,0.9997737129926457,0.9978778918072708
cohort,EP3340025B1,F0020,quality_gate_stage3,0.0,0.0004267593268968191,0.9999478142884478,1.0,0.9998956340233084,1.0,0.20636080356881983,0.9988249028091691,0.9997737129926457,0.9978778918072708
canonical,EP3347465B1,F0005,quality_gate_stage3,0.0,0.06442059272261261,0.9892401341407205,1.0,0.9787093527894836,1.0,0.40549907978185173,0.9843937856723554,0.9997242615379313,0.969526385307252
cohort,EP3347465B1,F0005,quality_gate_stage3,0.0,0.06442059272261261,0.9892401341407205,1.0,0.9787093527894836,1.0,0.40549907978185173,0.9843937856723554,0.9997242615379313,0.969526385307252
canonical,EP3363610B1,F0003,quality_gate_stage3,0.0,0.06254647123067414,0.9887796537721736,1.0,0.9778083060340272,1.4142135623730951,0.2919359844020678,0.9861252477634328,1.0,0.9726302441086336
